6070, 8073, -3, -4
-6050, -2028, 3, 1
10110, 8071, -5, -4
10, 4030, 0, -2
10110, 6049, -5, -3
-8069, 4031, 4, -2
6072, 10091, -3, -5
-4027, 2013, 2, -1
10113, 6052, -5, -3
-10087, -4049, 5, 2
-2007, 10090, 1, -5
6073, 6049, -3, -3
4055, -10107, -2, 5
8096, -6068, -4, 3
-10083, 2011, 5, -1
-4022, 2010, 2, -1
8099, 10089, -4, -5
20, 2010, 0, -1
-1999, -4049, 1, 2
4062, -8, -2, 0
4063, -10107, -2, 5
-6042, -2029, 3, 1
2039, -4049, -1, 2
-8060, 2011, 4, -1
-10075, -8087, 5, 4
-10075, 8072, 5, -4
-1995, -4049, 1, 2
10125, -2030, -5, 1
25, -8091, 0, 4
4066, 8069, -2, -4
-1993, -2031, 1, 1
-6032, -10111, 3, 5
-8054, -10107, 4, 5
-1993, -6067, 1, 3
-10072, 10093, 5, -5
2050, -2027, -1, 1
-4010, -6068, 2, 3
-8050, 6051, 4, -3
30, 8070, 0, -4
-8050, -11, 4, 0
-4009, 6051, 2, -3
2052, -4050, -1, 2
8113, -2031, -4, 1
8112, -8, -4, 0
-8047, -7, 4, 0
